,name,bio,appointed_date,administration,department
0,Tracy Short,"Attorney General William Barr appointed Tracy Short as the Chief Immigration Judge in June 2020. Chief Judge Short received a Bachelor of Arts in 1990 from Texas Christian University and a Juris Doctor in 1995 from the Louisiana State University Law Center. Chief Judge Short began his legal career in 1995 as a judicial law clerk for Judge James M. Dozier, Jr., of the Third Judicial District Court of Louisiana. From 1997 to 1998, he served as a public defender, representing indigent criminal defendants in Louisiana state courts, while also practicing civil law. From 1998 to 1999, Chief Judge Short was an assistant attorney general for the Louisiana Department of Justice where he represented the State of Louisiana in civil litigation. From 1999 to 2000, he also served as a judicial law clerk for Justice Chet D. Traylor of the Louisiana Supreme Court. From 2000 to 2001, Chief Judge Short was a judicial law clerk for Judge Robert B. Maloney of the U.S. District Court for the Northern District of Texas. From 2001 to 2003, Chief Judge Short litigated removal cases on behalf of the Department of Justice as trial attorney with the former Immigration and Naturalization Service in Dallas. From 2003 to 2005, Chief Judge Short served as Assistant Chief Counsel in the Dallas office of U.S. Immigration and Customs Enforcement’s (ICE) Office of the Principal Legal Advisor (OPLA). In 2005, he was appointed as a Special Assistant U.S. Attorney (SAUSA) in the U.S. Attorney’s Office (USAO) for the Northern District of Texas, where he handled complex civil litigation involving ICE. In 2007, Chief Judge Short was appointed as a SAUSA in the USAO for the Eastern District of Texas, where he litigated criminal cases. From 2007 to 2009, he served as the Acting Deputy Chief Counsel and Senior Attorney in OPLA’s Dallas office. As a Senior Attorney, he litigated significant and complex immigration cases and served as the lead attorney for matters involving customs law and criminal investigations. From 2009 to 2015, he served as Deputy Chief Counsel in OPLA’s Atlanta office, where he managed litigation operations and client services in a multi-state field office. From 2015 to 2017, Chief Judge Short served as Counsel to the U.S. House of Representatives, Committee on the Judiciary’s Subcommittee on Immigration and Border Security. From January 2017 to June 2020, he served as the ICE Principal Legal Advisor and, later, as a Senior Advisor to the ICE Acting Director. He is a member of the Louisiana State Bar Association and the State Bar of Texas.","[6, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
1,Mary Cheng,"Mary Cheng was appointed as Principal Deputy Chief Immigration Judge (acting) in August 2020. Judge Cheng received a Bachelor of Arts in 1993 from New York University and a Juris Doctor in 1997 from New York Law School. From March 2017 to August 2020, she served as a Deputy Chief Immigration Judge. From November 2015 to March 2017, she served as an Assistant Chief Immigration Judge, in New York. From April 2009 to March 2015, she served as an Immigration Judge at the New York City Immigration Court. From March 2003 to April 2009, she served as an assistant chief counsel for Immigration and Customs Enforcement, Department of Homeland Security, in New York. From June 2002 to March 2003, she worked as an assistant district counsel for the former Immigration and Naturalization Service (INS), in New York. From August 2000 to May 2002, she was in private practice, in New York. From June 2001 to June 2002, she served as an administrative law judge for the New York City Department of Finance. From September 1998 to July 2000, she worked as an assistant district counsel for the former INS, in New York. From September 1997 to September 1998, she worked as a judicial law clerk at the New York City Immigration Court, entering on duty through the Attorney General’s Honors Program. Judge Cheng is a member of the New York State Bar.","[8, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
2,Sheila McNulty,"Sheila McNulty was appointed as a Deputy Chief Immigration Judge (acting) in January 2020. Judge McNulty received a Bachelor of Arts in 1984 from Miami University of Ohio and a Juris Doctor in 1991 from New England School of Law. From November 2010 to November of 2015, she served as an Immigration Judge at the Chicago Immigration Court. From 2000 to 2010, Judge McNulty served as a special assistant U.S. attorney for the Northern District of Illinois, in Chicago. From 1991 to 2000, she served as a trial attorney for the former Immigration and Naturalization Service, entering on duty through the Attorney General’s Honors Program. From 1985 until 1991, Judge McNulty worked as a community activist and organizer in Cambridge, Massachuettes. Judge McNulty is a member of the Illinois Bar.","[1, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
3,E. Mark Barcus,"E. Mark Barcus was appointed as an Assistant Chief Immigration Judge, based in Fort Worth, in October 2020. Judge Barcus earned a Bachelor of Arts in 1984 from Austin College and a Juris Doctor in 1988 from the University of Texas School of Law. From 2017 to 2020, he served as an Immigration Judge at the Dallas and Imperial immigration courts. From 2016 to 2017, he served as interim executive director of Iron Gate in Tulsa, Oklahoma. From 2015 to 2016, he was a conflict consultant for Concord Consultants Inc. From 2012 to 2015, he was a district judge for the Tulsa County District Court. From 2003 to 2012, he was a special judge for the State of Oklahoma, Tulsa County District Court. From 2000 to 2003, he served as the first family court referee for Tulsa County. Judge Barcus is a member of the Oklahoma State Bar.","[10, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
4,Rico J. Bartolomei,"Rico J. Bartolomei was appointed as an Assistant Chief Immigration Judge, based in San Diego, in April 2012, and previously from October 2006 to January 2009. Judge Bartolomei received a Bachelor of Arts in 1983 from the University of Notre Dame and a Juris Doctor in 1986 from Georgetown University Law Center. From January 2009 to April 2012, and from September 1994 to October 2006, Judge Bartolomei served as an Immigration Judge at the San Diego Immigration Court. From 1991 to 1994, he served as a staff attorney for the Board of Immigration Appeals, Executive Office for Immigration Review. From 1987 to 1991, he worked as an attorney with the U.S. Army Judge Advocate General’s Corps. Judge Bartolomei is a member of the District of Columbia and Massachusetts Bars.","[4, '2012']",Barack Obama,The Office of the Chief Immigration Judge (OCIJ)
5,Brandon M. Bolling,"Attorney General William P. Barr appointed Brandon M. Bolling as an Assistant Chief Immigration Judge in June 2020. Judge Bolling earned a Bachelor of Arts in 1995 from Michigan State University, a Juris Doctor in 1999 from the University of Detroit Mercy School of Law, and a Master of Science in 2018 from the National War College. From 2017 to 2020, he served as senior trial counsel and director of litigation services at a not for profit law firm, in Ann Arbor, Michigan. From 2012 to 2017, he served as an assistant U.S. attorney at the U.S. Attorney’s Office for the Eastern District of Michigan, in Detroit. From 2011 to 2012, he served as an assistant U.S. attorney at the U.S. Attorney’s Office for the District of Arizona, in Tucson. From 1996 to present, he has served as a judge advocate in the U.S. Marine Corps, including two overseas deployments in support of Operation Enduring Freedom. As a Marine, he has served as a trial and appellate prosecutor, defense counsel, evidence instructor, military judge, operational planner, and in several supervisory litigation positions. Judge Bolling is a member of the State Bar of Michigan.","[6, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
6,Jefferson B. Brown,"Attorney General William P. Barr appointed Jefferson B. Brown as an Assistant Chief Immigration Judge in October 2020. Judge Brown earned a Bachelor of Science in 1990 from Florida State University, a Juris Doctor in 1993 from Vanderbilt Law School, and a Master of Military Operational Art and Science in 2006 from Air University, Maxwell Air Force Base, Alabama. In 2020, he retired as a colonel from the U.S. Air Force. From 1994 to 2020, he served as a chief circuit trial judge, deputy circuit trial judge, appellate judge, trial judge, staff judge advocate, deputy staff judge advocate, appellate defense counsel, trial defense counsel, and prosecutor in the following locations: Randolph Air Force Base, San Antonio, Texas; Joint Base Andrews, Maryland; Robins Air Force Base, Warner Robins, Georgia; Royal Air Force, Lakenheath, England; Osan Air Base, Republic of Korea; Incirlik Air Base, Turkey; Kirkuk Regional Air Base, Iraq; Luke Air Force Base, Glendale, Arizona; Bolling Air Force Base, District of Columbia; Keesler Air Force Base, Biloxi, Mississippi; and Reese Air Force Base, Lubbock, Texas. Judge Brown is a member of the Alabama State Bar.","[10, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
7,David Cheng ,"David Cheng was appointed as an Assistant Chief Immigration Judge, based in Newark, in April 2020. Judge Cheng earned a Bachelor of Arts in 1992 from the State University of New York at Albany and a Juris Doctor in 1997 from St. John’s University School of Law. From 2017 to 2020, he served as an Immigration Judge at the Newark Immigration Court. From 2007 to 2017, he served as a senior attorney, Office of Chief Counsel (OCC), Immigration and Customs Enforcement (ICE), Department of Homeland Security (DHS), in Newark, New Jersey. From 2002 to 2007, he served as an assistant chief counsel, OCC, ICE, DHS, in Newark. From 2000 to 2002, he served as an administrative law judge for the New York City Department of Finance. From 1997 to 2000, he was a general partner at Cheng and Cheng, PC, in New York, New York. Judge Cheng is a member of the New York State Bar.","[4, '2020']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
8,Grady A. Crooks,"Grady A. Crooks was appointed as an Assistant Chief Immigration Judge, based in LaSalle, in August 2019. Judge Crooks earned a Bachelor of Science in 1996 from North Dakota State University, a Master of Arts in 1999 from The George Washington University, and a Juris Doctor in 2004 from the Rutgers University School of Law. From October 2018 to August 2019, he served as an Immigration Judge at the LaSalle Immigration Court. In 2017, he served as an assistant U.S. attorney at the U.S. Attorney’s Office for the Western District of Louisiana in Shreveport, Louisiana. From 2005 to 2016, he was an attorney for the U.S. Air Force in the following locations: Barksdale Air Force Base, Louisiana; Guantánamo Bay, Cuba; Hurlburt Field, Florida; International Security Assistance Force in Kabul, Afghanistan; Baghdad, Iraq; Tyndall Air Force Base, Florida; and Offutt Air Force Base, Nebraska. Judge Crooks is a member of the District of Columbia Bar.","[8, '2019']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
9,Daniel J. Daugherty,"Daniel J. Daughtery was appointed as an Assistant Chief Immigration Judge, based in Las Vegas, in November 2017. Judge Daugherty received a Bachelor of Science in 1984 from Defiance College, a Juris Doctor in 1987 from the University of Toledo, and a Masters in National Security in 2006 from the U.S. Navy War College. From 2015 to 2017, he served as an Immigration Judge at the Las Vegas Immigration Court. In 2015, he honorably retired as the Chief Judge for the Navy-Marine Corps Trial Judiciary, after serving more than 25 years on active duty in the U.S. Marine Corps. From 2011 to 2014, he served as the Chief Trial Judge for the Department of the Navy. From 2008 to 2011, and 2002 to 2005, he served as a military judge. From 1994 to 1997, he served as the Assistant Prosecuting Attorney for Delaware County, Ohio. From 1989 to 1994, he served intermittently as a defense attorney and prosecutor. Judge Daugherty received the William K. Suter award for Distinguished Judicial Service from the Judge Advocates Foundation, and he also earned the Legion of Merit. Judge Daugherty is a member of the Ohio State Bar.","[11, '2017']",Donald Trump,The Office of the Chief Immigration Judge (OCIJ)
